1_clip	10_clip	11_clip	12_clip	13_clip	14_clip	15_clip	16_clip	17_clip	18_clip	19_clip	2_clip	20_clip	21_clip	22_clip	23_clip	24_clip	25_clip	26_clip	27_clip	28_clip	29_clip	3_clip	30_clip	31_clip	32_clip	33_clip	34_clip	35_clip	36_clip	37_clip	38_clip	39_clip	4_clip	40_clip	41_clip	42_clip	43_clip	44_clip	45_clip	46_clip	47_clip	48_clip	49_clip	5_clip	50_clip	51_clip	52_clip	53_clip	54_clip	55_clip	56_clip	57_clip	58_clip	59_clip	6_clip	60_clip	61_clip	62_clip	63_clip	64_clip	65_clip	66_clip	67_clip	68_clip	69_clip	7_clip	70_clip	71_clip	72_clip	73_clip	74_clip	75_clip	76_clip	77_clip	78_clip	79_clip	8_clip	80_clip	81_clip	82_clip	83_clip	84_clip	85_clip	86_clip	87_clip	88_clip	89_clip	9_clip	90_clip	91_clip	92_clip	93_clip	94_clip	95_clip	96_clip
sq43	21	11	107	159	949	216	237	1305	0	0	306	336	211	195	373	303	111	28	1195	816	10	24	400	82	21	143	2061	202	903	24	678	3694	1122	214	417	13	41	77	16	21	19	5	7	100	118	1098	351	69	2	508	79	196	394	853	1216	149	1263	363	722	864	1894	673	122	95	45	17	8	235	61	11	42	112	29	131	98	423	221	42	833	14	831	1575	297	1859	481	601	307	86	1953	176	55	22	93	16	44	27
sq44	0	0	0	0	0	9	0	0	0	0	0	3	23	0	0	0	0	0	0	125	0	0	0	0	0	0	0	48	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37472	2	2	3	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq45	11	2	232	44	3	3	2	2	3	7	1	4	57	34	11	43	5	7	997	364	2	0	3	18	4	1697	4289	2533	264	308	665	3	1690	7	302	13	2	2	2	10	3	1	5	497	0	1346	2	889	1145	6876	516	2125	1027	2573	632	22	384	294	292	226	446	4	0	1	17	3	123	3	629	0	2	444	2	175	1345	930	131	6	83	33	231	1	4	1	5	5	113	2	65	0	4	1	3	3	1	69
sq46	24	1	0	39	0	0	0	0	162	11	532	0	8	12	2	2	0	4	104	32	12413	5	0	42	0	32	439	222	1	0	0	0	7	110	1	218	4	0	45	202	24	1194	1338	79	0	171	114	15	104	1665	111	14	202	43	0	0	700	235	397	13	3	44	0	97	29	0	123	0	0	611	0	23	13	0	72	1	1	51	0	14	137	0	0	0	1437	2	139	20	0	188	13	51	0	90	111	12649
sq47	4	5	13	0	2	0	1	1	4	2	4368	0	282	8	10	125	280	38	1	0	849	3	0	61	158	4	0	4	0	2	1	2	2	2	101	200	200	413	348	8	2	186	751	390	0	0	37	132	224	2	4	21	502	1	0	0	77	1	634	2096	5105	1351	29	0	199	2	0	9	473	292	103	147	320	0	22	2	1	2	1	111	0	99	266	2780	3967	17	1921	1491	4	3567	258	16	303	148	769	2
sq48	11378	0	1	7755	1	424	0	1	0	1	0	4392	62	6	1279	0	389	28	0	0	262	2	408	19	10	145	0	0	1	0	0	0	0	0	0	0	3	65	31	640	65	320	1671	1	2393	0	0	0	0	0	0	0	0	1	2	856	0	0	0	69	55	0	0	0	0	0	218	0	71	0	68	79	239	24	35	116	0	25	0	81	0	52	32	0	0	0	0	0	1	31	80	56	539	491	0	55
sq49	186	390	3	103	211	44	19	54	26	342	96	352	468	26	1658	26	261	1293	297	3	373	22	1	316	646	245	691	87	0	0	2	1	11	3018	0	2	289	673	804	1198	540	186	603	291	103	77	1072	332	6	488	252	166	2797	2	3	42	2	43	2	1	358	0	1280	903	1152	19	197	563	415	188	376	622	1004	124	519	110	0	92	250	476	17	18	394	34	549	0	1	211	26	501	1432	298	673	402	45	483
sq50	16	1027	327	122	14	305	699	592	685	106	476	574	424	274	489	62	548	78	284	151	63	271	888	25	49	21	97	375	512	106	243	3878	264	205	1355	100	23	284	405	0	34	64	195	208	34	1055	555	172	401	408	151	39	460	63	696	313	514	304	887	236	127	80	122	357	215	22	338	107	240	1784	60	142	477	19	83	210	1021	51	721	112	354	434	856	232	222	3	182	206	939	219	279	3	77	29	431	207
sq51	295	21	3	257	491	191	257	667	2160	1176	97	79	32	18	296	221	2143	10	2	48	141	1	122	5	1	44	253	220	1	29	1	2998	585	762	2	5	36	507	210	213	219	9	9	153	587	2221	1103	596	2	404	134	7	1078	2	3	336	1086	395	562	273	74	1	95	786	770	500	41	984	526	606	10	97	5	108	176	319	0	37	3	7	3	459	88	33	4	197	174	3	1198	30	15	9	640	34	167	1761
sq52	2	372	1227	99	544	312	366	1479	4132	78	326	1129	232	15	1	28	7	2	1285	38	0	0	556	2	0	5	433	233	831	647	535	816	56	152	160	0	0	1	0	0	2	1	0	116	44	5798	173	3	74	363	245	62	675	2222	1112	60	165	31	430	10	603	218	4	0	1	0	231	2	2	7	2	66	0	30	15	427	130	168	397	56	0	92	248	428	556	990	237	7	1043	0	1	0	3	0	5	2
sq53	109	25	31	77	474	21	225	155	108	307	1173	457	312	252	47	253	83	0	113	169	32	0	364	0	0	20	0	141	178	108	0	5462	958	831	2263	121	3	3	8	171	5	1	21	638	0	364	404	142	3200	666	242	33	0	1172	289	44	1437	1450	1752	415	660	395	72	13	25	43	58	196	389	182	13	50	0	2	24	2	7	21	188	96	951	446	198	915	271	154	304	7	3	15	24	45	194	1	37	80
sq54	73	56	24	53	2	0	0	35	595	0	371	97	173	168	911	52	69	52	733	46	892	0	121	22	187	1046	0	1	0	623	1095	330	35	654	703	819	242	323	530	42	73	129	349	645	0	802	1	55	2	769	1	704	569	537	252	1	118	41	1192	513	65	341	286	115	193	79	36	32	130	19	102	116	406	317	424	1272	22	7	165	199	503	321	509	1199	704	49	2750	1385	1363	1109	692	4	218	112	76	146
sq55	6	486	304	224	407	440	224	2157	2347	1612	383	471	73	23	11	221	14	0	0	401	0	0	791	0	0	20	0	94	2	0	1	869	639	594	20	47	0	1	0	0	2	0	1	191	0	418	437	41	3651	551	856	106	95	156	470	11	174	675	1348	871	1789	1255	6	0	4	5	759	73	6	0	0	23	0	0	3	1	61	117	319	0	153	344	285	2	196	1452	71	0	2375	0	7	0	0	0	4	0
